name,id,numeric_id,variant_group,sort_order,additional_badges,role_badges,badges,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,wagon_formation_modifier,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,inhibit_lead,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,pax_special,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,gameplay_text,brake_text,additional_text,has_aged_variant
Holmes Tender,holmes_tender,-1,,-1,,,,,tender,tender,RAIL,1875,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,vct,,vct_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Midland Tender,midland_tender,-1,,-1,,,,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
GWR Tender,gwr_tender,-1,,-1,,,,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Lickey Tender,lickey_tender,-1,,-1,,,,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Gresley Tender,gresley_tender,-1,,-1,,,,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LMS Tender,lms_tender,-1,,-1,,,,,tender,tender,RAIL,1920,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.97,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
SR Tender,sr_tender,-1,,-1,,,,,tender,tender,RAIL,1925,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.97,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LMS Stanier Tender,stanier_tender,-1,,-1,,,,,tender,tender,RAIL,1925,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.97,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LMS Stanier Tender (Black),stanier_tender_black,-1,,-1,,,,,tender,tender,RAIL,1925,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.97,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Gresley 4 axle Tender,four_axle_tender,-1,,-1,,,,,tender,tender,RAIL,1927,,,,,,,,,,,,,53,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.96,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Coronation Tender,coronation_tender,-1,,-1,,,,,tender,tender,RAIL,1935,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.95,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Merchant Navy Tender,merchant_navy_tender,-1,,-1,,,,,tender,tender,RAIL,1941,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.95,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Q1 Tender,q1_tender,-1,,-1,,,,,tender,tender,RAIL,1942,,,,,,,,,,,,,52,,,,,,,,,6,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,0.94,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Austerity Tender,austerity_tender,-1,,-1,,,,,tender,tender,RAIL,1943,,,,,,,,,,,,,52,,,,,,,,,6,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,0.94,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Ivatt Tender,ivatt_tender,-1,,-1,,,,,tender,tender,RAIL,1946,,,,,,,,,,,,,52,,,,,,,,,6,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,0.94,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
1 Horse,horse,98,,1,,role/mixed,"flag/GB,power/animal,role/mixed",FEAT_TRAINS,horses,horses,PLATEWAY,1700,,1870,,5,,,,,,,,,1,,,3,0.30,18,29,,,,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,1,,12,178,-13,-3,3.6,0.025,0.15,1.00,0,0.5,0.5,1,1,£781,£81,,,,,,,,,,1,,,,,early,Mixed Traffic,early_Mixed Traffic,horses_PLATEWAY,{BLACK}Length: {GOLD}0.3 tiles{},,,"Most early industrial railways used two sources of power: horses and gravity. Often horses would ride downhill in dandy wagons, to save their energy for pulling the train uphill.",,,"{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Most early industrial railways used two sources of power: horses and gravity. Often horses would ride downhill in dandy wagons, to save their energy for pulling the train uphill.",
2 Horses,horses,99,,2,,role/mixed,"flag/GB,power/animal,role/mixed",FEAT_TRAINS,horses,horses,PLATEWAY,1700,,1870,,10,,,,,,,,,2,,,6,0.30,18,29,,,,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,1,,12,178,-12,-2,3.6,0.05,0.3,1.00,0,0.5,0.5,2,2,"£1,563",£163,,,,,,,,,,1,,,,,early,Mixed Traffic,early_Mixed Traffic,horses_PLATEWAY,{BLACK}Length: {GOLD}0.3 tiles{},,,The power of a horse-drawn train can easily be doubled by the expedient addition of a second horse.,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}The power of a horse-drawn train can easily be doubled by the expedient addition of a second horse.,
"""Puffing Billy""",puffing_billy,100,,3,,role/mixed,"flag/GB,power/steam,role/mixed",FEAT_TRAINS,locomotive,steam,PLATEWAY,1813,,1862,,15,,9,36,2,50,61,1.44,31.9602272727273,4,3,,7,0.10,20,32,,,,6,,,0,60x0x0,4,billy_tender,"1,2,1,1,2,1",,,,,,,,,,28,57,-35,-12,4,0.075,0.35,1.00,0,1.15,1.7,6,6,"£4,688",£488,,,,,,,,,,3,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_PLATEWAY,{BLACK}Length: {GOLD}0.5 tiles{},,,"Puffing Billy was the first steam locomotive to operate by the adhesion of the wheels alone, all previous locomotives using a rack by the railside. The real version was very slow, capable only of walking speeds.",,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}Puffing Billy was the first steam locomotive to operate by the adhesion of the wheels alone, all previous locomotives using a rack by the railside. The real version was very slow, capable only of walking speeds.",
"Stephenson ""Locomotion No. 1""",locomotion_no_1,101,,4,,role/mixed,"flag/GB,power/steam,role/mixed",FEAT_TRAINS,locomotive,steam,PLATEWAY,1825,,1857,,25,,9,24,2,50,54,1.22,18.8617734724292,4,3,,10,0.14,15,24,,,,6,,,0,60x0x0,4,stockton_tender,"1,2,1,1,2,1",,,,,,,,1,,24,40,-29,-8,3,0.125,0.5,1.00,0,1.15,1.7,8,10,"£6,250",£813,,,,,,,,,,1,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_PLATEWAY,{BLACK}Length: {GOLD}0.5 tiles{},,,"Originally named ""Active"", the Stockton and Darlington's Locomotion No. 1 was the first steam locomotive to operate on a public railway. Unfortunately the early design was flawed and it soon became obsolete.",,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}Originally named ""Active"", the Stockton and Darlington's Locomotion No. 1 was the first steam locomotive to operate on a public railway. Unfortunately the early design was flawed and it soon became obsolete.",
"Hackworth ""Royal George""",royal_george,102,,5,,role/mixed,"flag/GB,power/steam,role/mixed",FEAT_TRAINS,locomotive,steam,PLATEWAY,1827,,1858,,30,,9,36,2,50,55,1.44,28.7642045454546,5,3,,11,0.14,18,29,,,,8,,,0,82x0x0,5,stockton_tender,"2,1,2,1,2,1",,,,,,,,1,,26,39,-26,-8,3.6,0.15,0.55,1.00,0,1.15,1.7,10,15,"£7,813","£1,219",,,,,,,,,,11,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_PLATEWAY,{BLACK}Length: {GOLD}0.6 tiles{},,,"Timothy Hackworth was an influential early locomotive engineer. The Royal George locomotive was built around the boiler from an earlier locomotive Chittaprat, and was capable of hauling heavy coal trains.",,,"{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}Timothy Hackworth was an influential early locomotive engineer. The Royal George locomotive was built around the boiler from an earlier locomotive Chittaprat, and was capable of hauling heavy coal trains.",
"""Cycloped""",cycloped,103,,6,,role/mixed,"flag/GB,power/animal,role/mixed",FEAT_TRAINS,cycloped,horses,PLATEWAY,1829,,1842,,10,,,,,,,,,3,,,8,0.27,22,35,,,,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,1,,12,21,-13,-1,4.4,0.05,0.4,1.00,0,0.5,0.5,4,2,"£3,125",£163,,,,,,,,,,3,,,,,early,Mixed Traffic,early_Mixed Traffic,horses_PLATEWAY,{BLACK}Length: {GOLD}0.4 tiles{},,,"Brandreth's ""Cycloped"" was the only entry in the Rainhill Trials not powered by steam. Unfortunately during the trials the horse burst through the floor, withdrawing it from the competition.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Brandreth's ""Cycloped"" was the only entry in the Rainhill Trials not powered by steam. Unfortunately during the trials the horse burst through the floor, withdrawing it from the competition.",
"Stephenson ""Rocket""",stephenson_rocket,104,,7,,role/mixed,"flag/GB,power/steam,role/mixed",FEAT_TRAINS,locomotive,steam,PLATEWAY,1829,,1846,,30,,8,17,2,50,91,1.44,17.8872053872054,4,3,,8.5,0.12,30,48,,,,6,,,0,60x0x0,4,rocket_tender,"1,2,1,1,2,1",,,,,,,,1,,22,25,-28,-12,6,0.15,0.425,1.00,0,1.15,1.7,10,19,"£7,813","£1,544",,,,,,,,,,3,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_PLATEWAY,{BLACK}Length: {GOLD}0.5 tiles{},,,"Although not the first steam locomotive, Rocket's advanced design and success in the Rainhill trials made it the pivotal design for steam engines to replace horses on the railway.",,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}Although not the first steam locomotive, Rocket's advanced design and success in the Rainhill trials made it the pivotal design for steam engines to replace horses on the railway.",
"Stephenson ""Planet""",stephenson_planet,105,,8,,role/mixed,"flag/GB,power/steam,role/mixed",FEAT_TRAINS,locomotive,steam,PLATEWAY,1830,,1850,,50,,11,16,2,50,101,1.52,35.1790935672515,4.3,3,,8.5,0.12,35,56,,,,6,,,0,60x0x0,4,stephenson_tender,"1,2,1,1,2,1",,,,,,,,,,26,28,-24,-12,7,0.25,0.425,1.00,0,1.15,1.7,13,26,"£10,156","£2,113",,,,,,,,,,9,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_PLATEWAY,{BLACK}Length: {GOLD}0.5 tiles{},,,"Stephenson's ""Planet"" locomotives made several improvements to the Rocket design, including being the first locomotive to feature cylinders inside the frame.",,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}Stephenson's ""Planet"" locomotives made several improvements to the Rocket design, including being the first locomotive to feature cylinders inside the frame.",
"Stephenson ""Patentee""",stephenson_patentee,106,,9,,role/mixed,"flag/GB,power/steam,role/mixed",FEAT_TRAINS,locomotive,steam,RAIL,1833,,1865,,75,,11,16,2,50,109,1.52,38.1944444444444,5,3,,11,0.14,38,61,,,,8,,,0,82x0x0,5,stephenson_tender,"2,1,2,1,2,1",,,,,,,,,,28,40,-16,-10,7.6,0.375,0.55,1.00,0,1.15,1.7,16,36,"£12,500","£2,925",,,,,,,,,,9,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},,,"The Patentee was an enlarged version of the Planet type with an additional trailing rear axle, making it more stable and allowing a larger firebox.",,,"{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}The Patentee was an enlarged version of the Planet type with an additional trailing rear axle, making it more stable and allowing a larger firebox.",
Forrester Single,forrester_single,1021,,10,,role/mixed,"flag/GB,power/steam,role/mixed",FEAT_TRAINS,locomotive,steam,RAIL,1834,,1860,,85,,11,16,2,50,107,1.435,37.2628726287263,6,4,,15,0.15,35,56,,,,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,1,,29,34,-16,-8,7,0.425,0.75,1.00,0,1.15,1.7,18,35,"£14,063","£2,844",,,,,,,,,,5,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,George Forrester and Company built the first passenger tank locomotive to enter service. They were supplied to multiple railways in both tank and tender forms.,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}George Forrester and Company built the first passenger tank locomotive to enter service. They were supplied to multiple railways in both tank and tender forms.,
"LMR 0-4-2 ""Lion""",lmr_lion,107,,11,,role/mixed,"flag/GB,power/steam,role/mixed",FEAT_TRAINS,locomotive,steam,RAIL,1838,,1870,,100,,14,18,2,50,117,1.5,74.2424242424242,8,4,,18,0.15,40,64,,,,8,,,0,82x0x0,5,crampton_tender,"2,1,2,1,2,1",,,,,,,,1,,32,40,-5,-8,8,0.5,0.9,1.00,0,1.15,1.7,20,49,"£15,625","£3,981",,,,,,,,,,5,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},,,"The Liverpool and Manchester Railway's ""Lion"" is most famous for its appearance in the 1953 film ""The Titfield Thunderbolt"", in which it sustained a dent which can still be seen today.",,,"{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}The Liverpool and Manchester Railway's ""Lion"" is most famous for its appearance in the 1953 film ""The Titfield Thunderbolt"", in which it sustained a dent which can still be seen today.",
Star Tender,star_tender,-1,,-1,,,flag/GB,,tender,tender,RAIL,1840,,,,,,,,,,,,,5,,,,,,,,,7.5,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,£0,£0,,,,,,,,,,,,,,,early,Tender,early_Tender,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
"GWR 2-2-2 ""Star""",gwr_222_star,1022,,12,,role/express_passenger,"flag/GB,power/steam,role/express_passenger",FEAT_TRAINS,locomotive,steam,RAIL,1841,,1871,,220,,16,16,2,140,104,2.1,215.488215488215,11,,,16,0.15,50,80,,,8,8,,,0,82x0x0,5,star_tender,"2,1,2,1,2,1",,,,,,,,,,30,38,,,10,1.1,0.8,1.00,0,1.15,1.7,33,61,"£25,781","£4,956",,,,,,,,,,3,,,,,early,Express,early_Express,steam_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},,,"The first GWR Star class was typical of a 2-2-2 ""single"" passenger locomotive. They were given common names of stars, such as ""Dog Star"" and ""Shooting Star""",,,"{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}The first GWR Star class was typical of a 2-2-2 ""single"" passenger locomotive. They were given common names of stars, such as ""Dog Star"" and ""Shooting Star""",
